北原亞以子,1935-1-20,
北康利,1960-12-24,
北山猛邦,1979-8-9,
北条民雄,1914-9-22,1937-12-5
北村薫,1949-12-28,
北杜夫,1927-5-1,
北方謙三,1947-10-26,
北野勇作,1962-3-22,
牧野信一,1896-11-12,1936-3-24
堀晃,1944-6-21,
堀江敏幸,1964-1-3,
堀田あけみ,1964-5-28,
堀田善衛,1918-7-7,1998-9-5
麻耶雄嵩,1969-5-29,
又吉栄喜,1947-7-15,
末永直海,1962-5-12,
万城目学,1976-2-27,
夢野久作,1889-1-4,1936-3-11
鳴海丈,1955-10-30,
木々高太郎,1897-5-6,1969-10-31
木下尚江,1869-10-12,
木根尚登,1957-9-26,
木崎さと子,1939-11-6,
木山捷平,1904-3-26,1968-8-23
木村毅,1894-2-12,1979-9-18
木谷恭介,1927-11-2,
目取真俊,1960-10-6,
野間宏,1915-2-23,1991-1-2
野坂昭如,1930-10-10,
野村胡堂,1882-10-15,1963-4-14
野沢尚,1960-5-7,2004-6-28
矢作俊彦,1950-7-18,
矢野徹,1923-10-5,2004-10-13
柳美里,1968-6-22,
唯川恵,1955-2-1,
有吉玉青,1963-11-16,
有吉佐和子,1931-1-20,1984-8-30
有栖川有栖,1959-4-26,
有馬頼義,1918-2-14,1980-4-15
由良三郎,1921-10-14,2004-4-3
楊逸,1964-6-18,
葉山嘉樹,1894-3-12,1945-10-18
落合恵子,1945-1-15,
落合信彦,1942-1-8,
嵐山光三郎,1942-1-10,
李恢成,1935-2-26,
立原正秋,1926-1-6,1980-8-12
立松和平,1947-12-15,
隆慶一郎,1923-9-30,1989-11-4
龍胆寺雄,1901-4-27,1992-6-3
梁石日,1936-8-13,
林真理子,1954-4-1,
林芙美子,1903-12-31,1951-6-28
鈴木英治,1960-12-27,
鈴木輝一郎,1960-7-24,
鈴木光司,1957-5-13,
鈴木清剛,1970-5-11,
連城三紀彦,1948-1-11,
冲方丁,1977-2-14,
壺井栄,1899-8-5,1967-6-23
帚木蓬生,1947-1-22,
檜山良昭,1943-9-5,
楡周平,1957-10-12,
笙野頼子,1956-3-16,
